generation,best,average,overall_best
1,-112.8491446019837,-479.1663826555419,-112.8491446019837
2,-116.1835258074116,-407.995389070062,-112.8491446019837
3,-115.83651321862473,-380.84236034339744,-112.8491446019837
4,-72.23518176537165,-383.78073531178984,-72.23518176537165
5,-75.98199199058402,-343.1262118520346,-72.23518176537165
6,-72.32231943457404,-317.2597514175592,-72.23518176537165
7,-90.47138989651788,-319.59021580469215,-72.23518176537165
8,-84.10558724765255,-292.7842327856846,-72.23518176537165
9,-89.01524085708411,-265.5442622068529,-72.23518176537165
10,-64.47078393835231,-236.8580347660953,-64.47078393835231
11,-52.9103333825041,-241.99167673787917,-52.9103333825041
12,-82.36825299288314,-200.23090496428722,-52.9103333825041
13,-55.16758367498035,-196.3704135736095,-52.9103333825041
14,-35.17458845060653,-177.9526067702728,-35.17458845060653
15,-79.75266694681508,-181.73763844275504,-35.17458845060653
16,-58.486517269177355,-173.6032412485014,-35.17458845060653
17,-81.98263374702209,-177.2803604338786,-35.17458845060653
18,-77.5530805723258,-193.18550871945482,-35.17458845060653
19,-49.41349819798255,-200.64206809236705,-35.17458845060653
20,-53.442863108811366,-164.30564471001549,-35.17458845060653
21,-70.69036834057559,-162.01510418435262,-35.17458845060653
22,-63.44042459271937,-148.02758313001448,-35.17458845060653
23,-44.600294762103246,-154.24535827976126,-35.17458845060653
24,-34.35272266592643,-150.62682372358447,-34.35272266592643
25,-60.84465980027003,-138.1886997271254,-34.35272266592643
26,-57.164209816054,-138.863209786247,-34.35272266592643
27,-49.10048684635844,-148.16911961246734,-34.35272266592643
28,-54.48345266120759,-138.26309878669846,-34.35272266592643
29,-51.06643282612189,-139.40561576897508,-34.35272266592643
30,-62.85540322013479,-127.49911582061239,-34.35272266592643
31,-49.28465265618526,-125.99499140810764,-34.35272266592643
32,-47.69111518151775,-119.9990823539661,-34.35272266592643
33,-25.81140231425801,-113.6142271849012,-25.81140231425801
34,-48.89571303818856,-126.9302421272783,-25.81140231425801
35,-40.75056747775142,-124.94338184014616,-25.81140231425801
36,-38.27732165566485,-119.02969434725834,-25.81140231425801
37,-39.72077820548581,-123.08141122863108,-25.81140231425801
38,4.10043910617528,-124.5377799643228,4.10043910617528
39,3.294655274144664,-120.16090074323394,4.10043910617528
40,-11.419217408976971,-117.28633353807558,4.10043910617528
41,-7.283104864897465,-110.97127934593605,4.10043910617528
42,-16.832640266076638,-108.61078621118466,4.10043910617528
43,-7.614111750655089,-111.69005657081706,4.10043910617528
44,-26.72288869484866,-113.9480268319698,4.10043910617528
45,-16.454382565436365,-114.76622601332498,4.10043910617528
46,-10.063460204624601,-117.3848286036096,4.10043910617528
47,-39.555113345844305,-109.53186971568272,4.10043910617528
48,-13.976025952628385,-107.96251110983712,4.10043910617528
49,-37.36967912993628,-106.32038109835788,4.10043910617528
50,-23.13000780855693,-100.80946347699636,4.10043910617528
51,-12.482697462187009,-111.76275266259894,4.10043910617528
52,3.346326304087063,-90.6172629301948,4.10043910617528
53,1.4103742560119144,-105.81181685848033,4.10043910617528
54,-33.312001298681025,-97.28323368855413,4.10043910617528
55,-8.413360979984526,-105.08728653336588,4.10043910617528
56,17.091630186834454,-94.18453007206985,17.091630186834454
57,57.80649173438451,-89.45202879027224,57.80649173438451
58,7.887370051264218,-90.36071501073644,57.80649173438451
59,41.79493827963573,-78.76630435836387,57.80649173438451
60,28.283614842503006,-97.2425224553032,57.80649173438451
61,-25.028475536635646,-94.31822673965806,57.80649173438451
62,54.19847906538244,-88.86833625879154,57.80649173438451
63,-5.6108665185955315,-84.51076771248012,57.80649173438451
64,26.131196754022415,-79.64039759583146,57.80649173438451
65,29.475945147608467,-80.81074147486214,57.80649173438451
66,20.952500669318688,-82.75789734962343,57.80649173438451
67,18.844684622429575,-74.9872018136236,57.80649173438451
68,17.321270520065923,-76.21056086523636,57.80649173438451
69,76.62515744081773,-83.75622562821223,76.62515744081773
70,37.526417073623236,-73.0720558858806,76.62515744081773
71,41.13038939460678,-79.55783544919638,76.62515744081773
72,35.38645135365904,-73.26561511132424,76.62515744081773
73,70.98633466192544,-70.04658319571914,76.62515744081773
74,29.231108888184245,-70.67224477194507,76.62515744081773
75,82.04334421707242,-70.8818626263415,82.04334421707242
76,70.92265533763921,-63.112893464020566,82.04334421707242
77,28.812419788911644,-62.43514673411404,82.04334421707242
78,57.77326892935724,-71.21065831941829,82.04334421707242
79,55.424417139417166,-59.47953309208228,82.04334421707242
80,60.38263641978799,-67.54533015961742,82.04334421707242
81,78.24391282854032,-70.78455354556166,82.04334421707242
82,72.30322590803937,-57.52011184770973,82.04334421707242
83,125.4480111198383,-54.97932340342042,125.4480111198383
84,67.13437638009177,-56.94931182780587,125.4480111198383
85,134.19961945271697,-53.20363501828621,134.19961945271697
86,200.6647249717953,-47.08151160901789,200.6647249717953
87,190.55162122190262,-51.77828877843297,200.6647249717953
88,158.00484484899147,-27.278319386519193,200.6647249717953
89,112.43678880311158,-42.4800459107746,200.6647249717953
90,156.28018630449273,-13.69963937501385,200.6647249717953
91,164.9455909629458,-19.884838076729718,200.6647249717953
92,149.74308123094568,-9.201290193920753,200.6647249717953
93,215.6938604908055,-8.689241855696759,215.6938604908055
94,243.58951481794392,3.947061585529219,243.58951481794392
95,245.14463772155722,9.609370418344584,245.14463772155722
96,235.120935155058,27.9473491532946,245.14463772155722
97,248.8308636161152,16.230697117538597,248.8308636161152
98,259.87415874958594,45.96143283601428,259.87415874958594
99,228.3118041384135,61.158814233381555,259.87415874958594
100,249.64030327433343,71.72497667456201,259.87415874958594
101,268.299530122749,76.37990804286913,268.299530122749
102,264.0924743791469,88.873436236284,268.299530122749
103,266.6736986843754,80.30718921217527,268.299530122749
104,250.1572676633187,86.33069592661275,268.299530122749
105,274.4073047752916,105.47516240776893,274.4073047752916
106,245.43288409376427,78.12547473311051,274.4073047752916
107,277.31800161929476,107.9342506667152,277.31800161929476
108,273.4463315763593,105.71867355227026,277.31800161929476
109,265.3095036989252,101.9905732384124,277.31800161929476
110,257.4311677554961,103.98344849428936,277.31800161929476
111,274.654528929011,117.76861111525241,277.31800161929476
112,266.2426721730357,133.30484081082486,277.31800161929476
113,250.57226836081833,131.43900473816132,277.31800161929476
114,275.15638521572873,139.45136107016893,277.31800161929476
115,263.50969280534844,135.3384437477767,277.31800161929476
116,282.02502511081843,137.18212541776072,282.02502511081843
117,271.3798844044437,155.06907213745336,282.02502511081843
118,285.2078408181973,173.03700782184282,285.2078408181973
119,282.27135509711644,169.2168182935176,285.2078408181973
120,280.1699928999759,178.72593861529467,285.2078408181973
121,274.96152374056925,180.5648426870569,285.2078408181973
122,278.3284037469048,183.465599496014,285.2078408181973
123,279.01467077636414,182.70395846389536,285.2078408181973
124,285.1643875824849,182.40765516955747,285.2078408181973
125,275.2777051644383,188.48349079689083,285.2078408181973
126,279.82303231691577,200.7220552379296,285.2078408181973
127,280.17905182316844,184.60228487538424,285.2078408181973
128,286.93327727961764,193.53926547454154,286.93327727961764
129,273.0233580039402,196.5908676844556,286.93327727961764
130,278.27119896032775,197.70062510107164,286.93327727961764
131,288.6985971359348,211.78557029334596,288.6985971359348
132,283.66055987653084,185.3064347924006,288.6985971359348
133,279.99660420683006,198.41139551509073,288.6985971359348
134,282.85463165132944,198.9584207874698,288.6985971359348
135,282.12332964889214,201.23768077930967,288.6985971359348
136,285.22366313918286,214.38960577556335,288.6985971359348
137,282.55315404153856,217.5964597900794,288.6985971359348
138,284.99612356902975,224.652134756542,288.6985971359348
139,281.6955610138056,227.38003249018794,288.6985971359348
140,286.31355803426004,221.44544959348946,288.6985971359348
141,282.1593678820024,223.3317193435783,288.6985971359348
142,280.4891101057911,220.5073367291557,288.6985971359348
143,294.30712076930445,223.0328951004839,294.30712076930445
144,285.92033977162043,236.75898024564668,294.30712076930445
145,283.0971208803013,238.6212852169202,294.30712076930445
146,286.98611791394177,233.96035284303062,294.30712076930445
147,289.6607044070617,240.35978732367056,294.30712076930445
148,283.09697786200053,242.81709564136895,294.30712076930445
149,287.76243872200973,247.9016593436635,294.30712076930445
150,285.1985699691144,244.203272393531,294.30712076930445
